model,seed,attack,mcc,auroc,attack_recall
Transformer,23,scaled_reduction,0.47527870864351884,0.761904761904762,0.75
Transformer,37,daily_flattening,-0.030290828101854492,0.29356357927786497,0.21428571428571427
Transformer,37,noise,-0.037085525320158845,0.4945054945054945,0.21052631578947367
Transformer,37,partial_zeroing,-0.05425174782410324,0.7582417582417582,0.1875
Transformer,37,peak_clipping,0.17637522718169119,0.6996336996336996,0.5
Transformer,37,reversal,-0.04273015845104084,0.47545787545787543,0.2
Transformer,37,scaled_reduction,0.2636459880392778,0.7846153846153846,0.6
Transformer,53,daily_flattening,0.0,0.3220625528317836,0.0
Transformer,53,noise,0.0,0.570054945054945,0.0
Transformer,53,partial_zeroing,0.7778516513380695,0.9642857142857143,0.625
Transformer,53,peak_clipping,0.0,0.6567550096961862,0.0
Transformer,53,reversal,0.0,0.4170040485829959,0.0
Transformer,53,scaled_reduction,0.0,0.8247863247863247,0.0
Transformer,71,daily_flattening,-0.14165539998607804,0.28728414442700156,0.21428571428571427
Transformer,71,noise,-0.004297548839972763,0.5636716224951519,0.4117647058823529
Transformer,71,partial_zeroing,0.39598577465334617,0.7072213500784928,1.0
Transformer,71,peak_clipping,0.18255958165266709,0.6846999154691463,0.6923076923076923
Transformer,71,reversal,-0.0918538373239209,0.42533936651583715,0.29411764705882354
Transformer,71,scaled_reduction,0.059368588718972416,0.7232142857142857,0.5
Transformer,89,daily_flattening,0.012121297742039645,0.48241758241758237,0.3
Transformer,89,noise,0.025031308716087945,0.4973973395026027,0.3157894736842105
Transformer,89,partial_zeroing,0.5216405309573011,0.9079670329670331,1.0
Transformer,89,peak_clipping,0.016043698370396316,0.503803888419273,0.3076923076923077
Transformer,89,reversal,-0.15538619377310117,0.19597069597069597,0.0
Transformer,89,scaled_reduction,0.18962724747840323,0.755656108597285,0.5294117647058824
Transformer,107,daily_flattening,-0.16772557387550693,0.2197802197802198,0.0
Transformer,107,noise,0.11561853230868585,0.6703296703296704,0.4
Transformer,107,partial_zeroing,0.4810376017052275,0.7752247752247753,1.0
Transformer,107,peak_clipping,0.07253139007264661,0.5733678086619263,0.35294117647058826
Transformer,107,reversal,-0.06259150810171366,0.47184065934065933,0.1875
Transformer,107,scaled_reduction,0.3364144347892721,0.6766917293233081,0.6842105263157895
Transformer,131,daily_flattening,-0.13815273063140598,0.35311355311355314,0.0
Transformer,131,noise,0.21261014272437637,0.6273726273726273,0.36363636363636365
Transformer,131,partial_zeroing,0.7461746154731859,0.9884326200115674,1.0
Transformer,131,peak_clipping,0.0602733527030985,0.6018099547511312,0.17647058823529413
Transformer,131,reversal,-0.028853090519055883,0.4065934065934066,0.09090909090909091
Transformer,131,scaled_reduction,-0.0111906610377432,0.699023199023199,0.1111111111111111
Transformer,149,daily_flattening,0.05714323040967433,0.4203296703296703,0.1875
Transformer,149,noise,-0.15643009616387413,0.3968253968253968,0.0
Transformer,149,partial_zeroing,0.045024366576723145,0.6883116883116883,0.18181818181818182
Transformer,149,peak_clipping,0.028668672600101166,0.6500867553499132,0.15789473684210525
Transformer,149,reversal,0.021295885499998,0.48774302620456467,0.15384615384615385
Transformer,149,scaled_reduction,0.08006407690254357,0.695447409733124,0.21428571428571427
Transformer,173,daily_flattening,-0.02486823656509969,0.3440405748098056,0.23076923076923078
Transformer,173,noise,-0.09519974546297126,0.44583987441130296,0.14285714285714285
Transformer,173,partial_zeroing,0.4954000862144105,0.9890109890109889,1.0
Transformer,173,peak_clipping,0.23388418576054085,0.6141636141636142,0.5555555555555556
Transformer,173,reversal,-0.09519974546297126,0.4364207221350078,0.14285714285714285
Transformer,173,scaled_reduction,0.2760793005999911,0.7291208791208791,0.6
PI-DLNN,11,daily_flattening,-0.021914224972674454,0.5571428571428572,0.2
PI-DLNN,11,noise,0.03068169366221022,0.5204795204795205,0.2727272727272727
PI-DLNN,11,partial_zeroing,0.40409509710385483,0.8001046572475143,0.7142857142857143
PI-DLNN,11,peak_clipping,0.02881802497174443,0.5378831694621169,0.2631578947368421
PI-DLNN,11,reversal,-0.18376916754950665,0.3717948717948718,0.0
PI-DLNN,11,scaled_reduction,0.3522714905333264,0.7826617826617827,0.6666666666666666
PI-DLNN,23,daily_flattening,-0.0784348521245653,0.32380952380952377,0.06666666666666667
PI-DLNN,23,noise,-0.05572409401803959,0.3342490842490843,0.08333333333333333
PI-DLNN,23,partial_zeroing,0.6663978762940106,0.9755799755799757,0.9444444444444444
PI-DLNN,23,peak_clipping,0.19327783587126707,0.6208791208791209,0.35714285714285715
PI-DLNN,23,reversal,-0.04818120558297158,0.5038461538461538,0.1
PI-DLNN,23,scaled_reduction,0.47527870864351884,0.7847985347985348,0.75
PI-DLNN,37,daily_flattening,-0.038461538461538464,0.29591836734693877,0.21428571428571427
PI-DLNN,37,noise,-0.0461747325729287,0.49161364950838626,0.21052631578947367
PI-DLNN,37,partial_zeroing,0.03912292895129707,0.7637362637362637,0.3125
PI-DLNN,37,peak_clipping,0.16683467872594968,0.706043956043956,0.5
PI-DLNN,37,reversal,-0.05098676986156824,0.47692307692307695,0.2
PI-DLNN,37,scaled_reduction,0.25312087310007353,0.7831501831501831,0.6
PI-DLNN,53,daily_flattening,-0.03724194613619293,0.3237531699070161,0.0
PI-DLNN,53,noise,0.13563473666299108,0.570054945054945,0.0625
PI-DLNN,53,partial_zeroing,0.701333742292994,0.9271978021978022,0.625
PI-DLNN,53,peak_clipping,0.45014584165117666,0.6722689075630253,0.29411764705882354
PI-DLNN,53,reversal,-0.04376660458595762,0.42105263157894735,0.0
PI-DLNN,53,scaled_reduction,0.7119017802272605,0.8205128205128206,0.6111111111111112
PI-DLNN,71,daily_flattening,-0.14165539998607804,0.36185243328100464,0.21428571428571427
PI-DLNN,71,noise,-0.004297548839972763,0.5190691661279897,0.4117647058823529
PI-DLNN,71,partial_zeroing,0.39598577465334617,0.7111459968602826,1.0
PI-DLNN,71,peak_clipping,0.18255958165266709,0.6694843617920541,0.6923076923076923
PI-DLNN,71,reversal,-0.0918538373239209,0.4234001292824822,0.29411764705882354
PI-DLNN,71,scaled_reduction,0.059368588718972416,0.7156593406593407,0.5
PI-DLNN,89,daily_flattening,-0.027804031095457513,0.5208791208791208,0.75
PI-DLNN,89,noise,-0.0391276981584006,0.4794679005205321,0.7368421052631579
PI-DLNN,89,partial_zeroing,0.20104564348470313,0.8571428571428572,1.0
PI-DLNN,89,peak_clipping,0.11769164652597447,0.5350803043110736,0.9230769230769231
PI-DLNN,89,reversal,-0.1587140345255017,0.22710622710622713,0.5
PI-DLNN,89,scaled_reduction,0.20605228088410585,0.755656108597285,1.0
PI-DLNN,107,daily_flattening,-0.16772557387550693,0.24313186813186813,0.0
PI-DLNN,107,noise,0.11561853230868585,0.6681318681318682,0.4
PI-DLNN,107,partial_zeroing,0.4810376017052275,0.7962037962037962,1.0
PI-DLNN,107,peak_clipping,0.07253139007264661,0.5753070458952811,0.35294117647058826
PI-DLNN,107,reversal,-0.06259150810171366,0.4690934065934066,0.1875
PI-DLNN,107,scaled_reduction,0.3364144347892721,0.6778484673221515,0.6842105263157895
PI-DLNN,131,daily_flattening,-0.1310356045902398,0.37655677655677655,0.0
PI-DLNN,131,noise,0.2287237822097536,0.6343656343656343,0.36363636363636365
PI-DLNN,131,partial_zeroing,-0.07214791053658226,0.7478311162521689,0.05263157894736842
PI-DLNN,131,peak_clipping,0.07451755367231847,0.6179702650290886,0.17647058823529413
PI-DLNN,131,reversal,-0.01898101898101898,0.3986013986013986,0.09090909090909091
PI-DLNN,131,scaled_reduction,-0.06697668948863124,0.6953601953601953,0.05555555555555555
